,word,meaning
0,abate,to decrease in force or intensity
1,abate,to become defeated or become null or void (as of a writ or appeal)
2,abate,to decrease in amount or value
3,abate,to put an end to
4,abate,nullify sense 1
5,abate,to reduce in degree or intensity : moderate
6,abate,to reduce in value or amount : to make less especially by way of relief
7,abate,"deduct, omit"
8,abate,to beat down or cut away so as to leave a figure in relief
9,abate,blunt
10,abate,deprive sense 1
11,aberrant,"deviating from the usual or natural type : atypical, abnormal"
12,aberrant,straying from the right or normal way
13,aberrant,"a group, individual, or structure that is not normal or typical : an aberrant group, individual, or structure"
14,aberrant,a person whose behavior departs substantially from the standard
15,abet,"to actively second and encourage (something, such as an activity or plan)"
16,abet,to assist or support (someone) in the achievement of a purpose
17,abet,"to assist, encourage, instigate, or support with criminal intent in attempting or carrying out a crime "
18,abeyance,a state of temporary inactivity : suspension
19,abeyance,a lapse in succession during which there is no person in whom a title is vested
20,abhor,to regard with extreme repugnance : to feel hatred or loathing for : loathe
21,abide,to bear patiently : tolerate
22,abide,to endure without yielding : withstand
23,abide,to wait for : await
24,abide,to accept without objection
25,abide,to remain stable or fixed in a state
26,abide,to continue in a place : sojourn
27,abide,to conform to
28,abide,to accept without objection : to acquiesce in
29,abject,sunk to or existing in a low state or condition : very bad or severe
30,abject,"cast down in spirit : servile, spiritless"
31,abject,showing hopelessness or resignation
32,abject,expressing or offered in a humble and often ingratiating spirit
33,abjure,to renounce upon oath
34,abjure,to reject solemnly
35,abjure,to abstain from : avoid
36,abound,to be present in large numbers or in great quantity : to be prevalent
37,abound,to be copiously supplied
38,abreast,beside one another in line
39,abreast,up to a particular standard or level especially of knowledge of recent developments
40,abrogate,to abolish by authoritative action : annul
41,abrogate,"to treat as nonexistent : to fail to do what is required by (something, such as a responsibility)"
42,abrogate,to suppress or prevent (a biological function or process and especially an immune response)
43,abscond,to depart secretly and hide oneself
44,abstain,to choose not to do or have something : to refrain deliberately and often with an effort of self-denial from an action or practice
45,abstain,to choose not to vote
46,abstract,disassociated from any specific instance
47,abstract,difficult to understand : abstruse
48,abstract,insufficiently factual : formal
49,abstract,expressing a quality apart from an object
50,abstract,dealing with a subject in its abstract aspects : theoretical
51,abstract,"impersonal, detached"
52,abstract,having only intrinsic form with little or no attempt at pictorial representation or narrative content
53,abstract,a summary of points (as of a writing) usually presented in skeletal form
54,abstract,something that summarizes or concentrates the essentials of a larger thing or several things
55,abstract,an abstract thing or state (see abstract entry 1)
56,abstract,abstraction sense 4a
57,abstract,to make a summary or abstract of : summarize
58,abstract,to draw away the attention of
59,abstract,"steal, purloin"
60,abstract,"remove, separate"
61,abstract,to consider apart from application to or association with a particular instance
62,abstract,to make an abstraction
