,word,meaning,example
0,abate,to decrease in force or intensity,waiting for the storm to abate
1,abate,to become defeated or become null or void (as of a writ or appeal),
2,abate,to decrease in amount or value,The legacies abated proportionately.
3,abate,to put an end to,abate a nuisance
4,abate,nullify sense 1,abate a writ
5,abate,to reduce in degree or intensity : moderate,may abate their rancor to win peace
6,abate,to reduce in value or amount : to make less especially by way of relief,abate a tax
7,abate,"deduct, omit",abate part of the price
8,abate,to beat down or cut away so as to leave a figure in relief,
9,abate,blunt,
10,abate,deprive sense 1,
11,aberrant,"deviating from the usual or natural type : atypical, abnormal",aberrant behavior
12,aberrant,straying from the right or normal way,aberrant misfits
13,aberrant,"a group, individual, or structure that is not normal or typical : an aberrant group, individual, or structure",
14,aberrant,a person whose behavior departs substantially from the standard,
15,abet,"to actively second and encourage (something, such as an activity or plan)",abet the commission of a crime
16,abet,to assist or support (someone) in the achievement of a purpose,The singer was abetted by a skillful accompanist.
17,abeyance,a state of temporary inactivity : suspension,
18,abeyance,a lapse in succession during which there is no person in whom a title is vested,an estate in abeyance
19,abhor,to regard with extreme repugnance : to feel hatred or loathing for : loathe,abhorred violence
20,abide,to bear patiently : tolerate,cannot abide such bigots
21,abide,to endure without yielding : withstand,abide the onrush of the enemy
22,abide,to wait for : await,I will abide the coming of my lord.
23,abide,to accept without objection,will abide your decision
24,abide,to remain stable or fixed in a state,a love that abided with him all his days
25,abide,to continue in a place : sojourn,will abide in the house of the Lord
26,abide,to conform to,abide by the rules
27,abide,to accept without objection : to acquiesce in,will abide by your decision
28,abject,sunk to or existing in a low state or condition : very bad or severe,living in abject poverty
29,abject,"cast down in spirit : servile, spiritless",a man made abject by suffering
30,abject,showing hopelessness or resignation,abject surrender
31,abject,expressing or offered in a humble and often ingratiating spirit,abject flattery
32,abjure,to renounce upon oath,He abjured his allegiance to his former country.
33,abjure,to reject solemnly,She abjured her old beliefs.
34,abjure,to abstain from : avoid,abjure extravagance
35,abound,to be present in large numbers or in great quantity : to be prevalent,a business in which opportunities abound
36,abound,to be copiously supplied,
37,abreast,beside one another in line,columns of men five abreast
38,abreast,up to a particular standard or level especially of knowledge of recent developments,tries to keep abreast of [=to stay informed about] the news
39,abrogate,to abolish by authoritative action : annul,abrogate a treaty
40,abrogate,"to treat as nonexistent : to fail to do what is required by (something, such as a responsibility)",The company's directors are accused of abrogating their responsibilities.
41,abrogate,to suppress or prevent (a biological function or process and especially an immune response),Continued progress in measurement and characterization of antibodies and strategies to abrogate antibody production both prior to and following heart transplant have been encouraging.
42,abscond,to depart secretly and hide oneself,He absconded with the stolen money.
43,abstain,to choose not to do or have something : to refrain deliberately and often with an effort of self-denial from an action or practice,abstain from drinking
44,abstain,to choose not to vote,"Ten members voted for the proposal, six members voted against it, and two abstained."
45,abstract,disassociated from any specific instance,an abstract entity
46,abstract,difficult to understand : abstruse,abstract problems
47,abstract,insufficiently factual : formal,possessed only an abstract right
48,abstract,expressing a quality apart from an object,"the word poem is concrete, poetry is abstract"
49,abstract,dealing with a subject in its abstract aspects : theoretical,abstract science
50,abstract,"impersonal, detached",the abstract compassion of a surgeon
51,abstract,having only intrinsic form with little or no attempt at pictorial representation or narrative content,abstract painting
